[2023-08-04 20:49:05,761] - Sirken Bot is online and connected to Discord
[2023-08-04 20:49:05,761] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:49:05,778] - Loading Discord Users. Done in 0.01643 seconds
[2023-08-04 20:51:13,008] - Loading Bot. Done in (0.01173)
[2023-08-04 20:51:13,016] - Loading Merbs. Done in 0.00682 seconds
[2023-08-04 20:51:13,017] - Loading Help. Done in 0.00063 seconds
[2023-08-04 20:51:13,017] - Loading Watcher. Done in 5e-05 seconds
[2023-08-04 20:51:13,017] - Loading IO. Done in 0.00012 seconds
[2023-08-04 20:51:15,519] - Sirken Bot is online and connected to Discord
[2023-08-04 20:51:15,519] - Loading Discord Roles. Done in 0.00025 seconds
[2023-08-04 20:51:15,535] - Loading Discord Users. Done in 0.01579 seconds
[2023-08-04 21:42:24,539] - Loading Bot. Done in (0.02288)
[2023-08-04 21:42:24,551] - Loading Merbs. Done in 0.00932 seconds
[2023-08-04 21:42:24,559] - Loading Help. Done in 0.00758 seconds
[2023-08-04 21:42:24,560] - Loading Watcher. Done in 0.00085 seconds
[2023-08-04 21:42:24,560] - Loading IO. Done in 0.00107 seconds
[2023-08-04 21:42:27,048] - Sirken Bot is online and connected to Discord
[2023-08-04 21:42:27,049] - Loading Discord Roles. Done in 0.0003 seconds
[2023-08-04 21:42:27,065] - Loading Discord Users. Done in 0.01568 seconds
[2023-08-04 21:46:47,590] - Loading Bot. Done in (0.01204)
[2023-08-04 21:46:47,597] - Loading Merbs. Done in 0.00644 seconds
[2023-08-04 21:46:47,598] - Loading Help. Done in 0.00058 seconds
[2023-08-04 21:46:47,598] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 21:46:47,598] - Loading IO. Done in 0.00012 seconds
[2023-08-04 21:46:50,047] - Sirken Bot is online and connected to Discord
[2023-08-04 21:46:50,047] - Loading Discord Roles. Done in 0.00024 seconds
[2023-08-04 21:46:50,063] - Loading Discord Users. Done in 0.01586 seconds
[2023-08-04 22:46:47,613] - Roles Reloaded
[2023-08-04 22:46:47,641] - Users Reloaded
[2023-08-04 22:55:48,421] - Loading Bot. Done in (0.01114)
[2023-08-04 22:55:48,432] - Loading Merbs. Done in 0.00944 seconds
[2023-08-04 22:55:48,440] - Loading Help. Done in 0.00826 seconds
[2023-08-04 22:55:48,441] - Loading Watcher. Done in 0.00088 seconds
[2023-08-04 22:55:48,442] - Loading IO. Done in 0.00105 seconds
[2023-08-04 22:55:51,105] - Loading Bot. Done in (0.01303)
[2023-08-04 22:55:51,112] - Loading Merbs. Done in 0.00667 seconds
[2023-08-04 22:55:51,113] - Loading Help. Done in 0.00058 seconds
[2023-08-04 22:55:51,113] - Loading Watcher. Done in 6e-05 seconds
[2023-08-04 22:55:51,113] - Loading IO. Done in 0.00013 seconds
[2023-08-04 22:55:53,584] - Sirken Bot is online and connected to Discord
[2023-08-04 22:55:53,585] - Loading Discord Roles. Done in 0.00023 seconds
[2023-08-04 22:55:53,602] - Loading Discord Users. Done in 0.0172 seconds
[2023-08-04 23:55:51,127] - Roles Reloaded
[2023-08-04 23:55:51,152] - Users Reloaded
